"year","month","affected_local_code","policy_type","policy_category"
2020,1,"53057",0,0
2020,1,"53061",0,0
2020,1,"53063",0,0
2020,1,"53067",0,0
2020,1,"53071",0,0
2020,1,"53073",0,0
2020,1,"53003",0,0
2020,1,"53013",0,0
2020,1,"53019",0,0
2020,1,"53009",0,0
2020,1,"53007",0,0
2020,1,"53077",0,0
2020,1,"54061",0,0
2020,1,"54003",0,0
2020,1,"54035",0,0
2020,1,"54069",0,0
2020,1,"54039",0,0
2020,1,"54033",0,0
2020,1,"54037",0,0
2020,1,"54049",0,0
2021,1,"01077",0,0
2021,1,"28051",2,6
2021,1,"28099",2,6
2021,1,"18177",0,0
2021,1,"01073",1,-1
2021,1,"28061",2,6
2021,1,"04013",1,1
2021,1,"04005",4,0
2021,1,"04019",7,-1
2021,1,"04015",1,-1
2021,1,"06025",3,-19
2021,1,"06115",1,1
2021,1,"06045",43,-19
2021,1,"06015",2,-16
2021,1,"06003",12,-14
2021,1,"06073",53,-55
2021,1,"06055",1,-5
2021,1,"06041",39,-35
2021,1,"06001",6,-56
2021,1,"06083",16,-16
2021,1,"06079",0,0
2021,1,"06059",6,-16
2021,1,"06009",2,-4
2021,1,"06019",24,-24
2021,1,"06091",1,1
2021,1,"06101",1,1
2021,1,"06109",13,-21
2021,1,"06013",12,-42
2021,1,"06113",4,-2
2021,1,"06063",5,-7
2021,1,"06051",20,-18
2021,1,"06071",3,-1
2021,1,"06037",25,-29
2021,1,"06039",10,-18
2021,1,"06033",24,-26
2021,1,"06095",2,-2
2021,1,"06067",2,-14
2021,1,"06111",10,-30
2021,1,"06087",5,-5
2021,1,"06027",22,-18
2021,1,"06047",12,-24
2021,1,"06053",5,-1
2021,1,"06065",2,-2
2021,1,"06081",11,-27
2021,1,"06085",5,-5
2021,1,"06099",8,-4
2021,1,"06031",4,-2
2021,1,"06029",10,-6
2021,1,"06023",-5,-7
2021,1,"06097",4,-6
2021,1,"06077",3,-5
2021,1,"06061",0,0
2021,1,"06017",0,0
2021,1,"06005",7,-7
2021,1,"06069",2,-4
2021,1,"06057",2,-2
2021,1,"06011",9,-1
2021,1,"06043",3,-9
2021,1,"06021",14,-14
2021,1,"06007",6,-2
2021,1,"06035",0,0
2021,1,"06093",0,0
2021,1,"06105",0,0
2021,1,"66000",0,-16
2021,1,"06107",1,-1
2021,1,"06089",0,0
2021,1,"08031",4,-4
2021,1,"12086",4,-10
2021,1,"12099",14,-20
2021,1,"12011",11,-39
2021,1,"12001",NA,-22
2021,1,"12131",0,0
2021,1,"12117",2,0
2021,1,"12103",1,1
2021,1,"12057",1,1
2021,1,"12083",1,1
2021,1,"12073",1,1
2021,1,"12095",1,1
2021,1,"13135",4,0
2021,1,"13089",37,-35
2021,1,"13129",7,-7
2021,1,"13057",12,-14
2021,1,"13063",9,-11
2021,1,"13121",8,-8
2021,1,"13067",1,-1
2021,1,"16001",4,-6
2021,1,"16039",4,-6
2021,1,"16015",4,-6
2021,1,"16085",5,-5
2021,1,"17087",-8,-10
2021,1,"17019",-16,-16
2021,1,"17139",-16,-16
2021,1,"17055",-8,-10
2021,1,"17141",1,-7
2021,1,"17061",-5,-5
2021,1,"17003",-8,-10
2021,1,"17175",1,-1
2021,1,"17121",-8,-10
2021,1,"17047",-8,-10
2021,1,"17021",-5,-5
2021,1,"17119",-3,-3
2021,1,"17147",-16,-16
2021,1,"17079",-16,-16
2021,1,"17143",1,-1
2021,1,"17071",1,-1
2021,1,"17053",-16,-16
2021,1,"17035",-16,-16
2021,1,"17183",-16,-16
2021,1,"17107",-5,-5
2021,1,"17115",-16,-16
2021,1,"17029",-16,-16
2021,1,"17161",1,-1
2021,1,"17095",1,-1
2021,1,"17037",1,-7
2021,1,"17201",1,-7
2021,1,"17189",-3,-3
2021,1,"17007",1,-7
2021,1,"17199",-8,-10
2021,1,"17153",-8,-10
2021,1,"17059",-8,-10
2021,1,"17193",-8,-10
2021,1,"17163",-3,-3
2021,1,"17083",-5,-5
2021,1,"17069",-8,-10
2021,1,"17041",-16,-16
2021,1,"17011",1,-1
2021,1,"17031",7,-25
2021,1,"17081",-8,-10
2021,1,"17093",1,-1
2021,1,"17045",-16,-16
2021,1,"17101",-16,-16
2021,1,"17145",-8,-10
2021,1,"17005",-3,-3
2021,1,"17033",-16,-16
2021,1,"17177",1,-7
2021,1,"17173",-16,-16
2021,1,"17077",-8,-10
2021,1,"17131",1,-1
2021,1,"17065",-8,-10
2021,1,"17165",-8,-10
2021,1,"17023",-16,-16
2021,1,"17111",-5,-5
2021,1,"17127",-8,-10
2021,1,"17067",-5,-5
2021,1,"17185",-8,-10
2021,1,"17085",1,-7
2021,1,"17103",1,-7
2021,1,"17113",1,-1
2021,1,"17157",-3,-3
2021,1,"17195",1,-7
2021,1,"17089",-6,-6
2021,1,"17187",1,-1
2021,1,"17075",-16,-16
2021,1,"17117",-5,-5
2021,1,"17151",-8,-10
2021,1,"17123",1,-1
2021,1,"17073",1,-1
2021,1,"17017",-5,-5
2021,1,"17191",-8,-10
2021,1,"17155",1,-1
2021,1,"48123",-16,-16
2021,1,"17043",-6,-6
2021,1,"17197",-3,-3
2021,1,"17091",-3,-3
2021,1,"17135",-5,-5
2021,1,"17203",1,-1
2021,1,"17171",-5,-5
2021,1,"17099",1,-1
2021,1,"17129",-5,-5
2021,1,"17179",1,-1
2021,1,"17051",-16,-16
2021,1,"17125",-5,-5
2021,1,"17137",-5,-5
2021,1,"17167",-5,-5
2021,1,"17159",-16,-16
2021,1,"17181",-8,-10
2021,1,"17063",1,-1
2021,1,"17015",1,-7
2021,1,"17001",-5,-5
2021,1,"17049",-16,-16
2021,1,"17109",1,-1
2021,1,"17105",1,-1
2021,1,"17013",-5,-5
2021,1,"17027",-3,-3
2021,1,"17025",-16,-16
2021,1,"17149",-5,-5
2021,1,"17009",-5,-5
2021,1,"17133",-3,-3
2021,1,"17169",-5,-5
2021,1,"17097",-5,-5
2021,1,"17057",1,-1
2021,1,"42061",0,0
2021,1,"36073",-3,-3
2021,1,"36117",-3,-3
2021,1,"36035",-3,-3
2021,1,"42041",0,0
2021,1,"42071",0,0
2021,1,"36023",-3,-3
2021,1,"36097",-3,-3
2021,1,"18089",0,0
2021,1,"42101",0,0
